activations,parameters,input,Pipelines/CUDA cores,Memory bandwidth (GB/s),SM count,Memory clock speed (MHz),Tensor cores,peak mem usage
1983.12,229.62,4.59,10496,935.8,82,19495,328,3513
3966.24,229.62,9.19,10496,935.8,82,19495,328,4955
7932.48,229.62,18.38,10496,935.8,82,19495,328,8035
15864.96,229.62,36.75,10496,935.8,82,19495,328,14285
1625.52,30.75,4.59,2496,240.6,13,5012,0,1646
3251.04,30.75,9.19,2496,240.6,13,5012,0,2762
6502.08,30.75,18.38,2496,240.6,13,5012,0,5052
13004.16,30.75,36.75,2496,240.6,13,5012,0,10138
1625.52,30.75,4.59,2560,448,40,14000,320,2170
3251.04,30.75,9.19,2560,448,40,14000,320,3364
6502.08,30.75,18.38,2560,448,40,14000,320,5808
13004.16,30.75,36.75,2560,448,40,14000,320,10240
1625.52,30.75,4.59,5888,512,46,16000,184,2467
3251.04,30.75,9.19,5888,512,46,16000,184,3639
6502.08,30.75,18.38,5888,512,46,16000,184,5781
13004.16,30.75,36.75,5888,512,46,16000,184,10510
1625.52,30.75,4.59,5120,900,80,1752,640,2559
3251.04,30.75,9.19,5120,900,80,1752,640,3675
6502.08,30.75,18.38,5120,900,80,1752,640,6013
13004.16,30.75,36.75,5120,900,80,1752,640,10571
1625.52,30.75,4.59,10496,935.8,82,19495,328,2595
3251.04,30.75,9.19,10496,935.8,82,19495,328,3767
6502.08,30.75,18.38,10496,935.8,82,19495,328,5909
13004.16,30.75,36.75,10496,935.8,82,19495,328,10083
2001.26,54.58,4.59,2496,240.6,13,5012,0,1922
4002.53,54.58,9.19,2496,240.6,13,5012,0,3284
8004.8,54.58,18.38,2496,240.6,13,5012,0,6066
16009.6,54.58,36.75,2496,240.6,13,5012,0,11414
2001.26,54.58,4.59,2560,448,40,14000,320,2468
4002.53,54.58,9.19,2560,448,40,14000,320,3882
8004.8,54.58,18.38,2560,448,40,14000,320,6538
16009.6,54.58,36.75,2560,448,40,14000,320,11540
2001.26,54.58,4.59,5888,512,46,16000,184,2699
4002.53,54.58,9.19,5888,512,46,16000,184,4149
8004.8,54.58,18.38,5888,512,46,16000,184,6767
16009.6,54.58,36.75,5888,512,46,16000,184,11654
2001.26,54.58,4.59,5120,900,80,1752,640,2807
4002.53,54.58,9.19,5120,900,80,1752,640,4183
8004.8,54.58,18.38,5120,900,80,1752,640,6969
16009.6,54.58,36.75,5120,900,80,1752,640,11680
2001.26,54.58,4.59,10496,935.8,82,19495,328,2827
4002.53,54.58,9.19,10496,935.8,82,19495,328,4277
8004.8,54.58,18.38,10496,935.8,82,19495,328,6895
16009.6,54.58,36.75,10496,935.8,82,19495,328,11855
2610.24,77.22,4.59,2496,240.6,13,5012,0,2370
5220.48,77.22,9.19,2496,240.6,13,5012,0,4112
10440.96,77.22,18.38,2496,240.6,13,5012,0,7642
20881.92,77.22,36.75,2496,240.6,13,5012,0,14026
2610.24,77.22,4.59,2560,448,40,14000,320,2918
5220.48,77.22,9.19,2560,448,40,14000,320,4736
10440.96,77.22,18.38,2560,448,40,14000,320,7920
20881.92,77.22,36.75,2560,448,40,14000,320,14145
2610.24,77.22,4.59,5888,512,46,16000,184,3169
5220.48,77.22,9.19,5888,512,46,16000,184,4957
10440.96,77.22,18.38,5888,512,46,16000,184,7953
20881.92,77.22,36.75,5888,512,46,16000,184,14758
2610.24,77.22,4.59,5120,900,80,1752,640,3249
5220.48,77.22,9.19,5120,900,80,1752,640,4953
10440.96,77.22,18.38,5120,900,80,1752,640,8463
20881.92,77.22,36.75,5120,900,80,1752,640,15347
2610.24,77.22,4.59,10496,935.8,82,19495,328,3297
5220.48,77.22,9.19,10496,935.8,82,19495,328,5085
10440.96,77.22,18.38,10496,935.8,82,19495,328,8403
20881.92,77.22,36.75,10496,935.8,82,19495,328,14811
501.51,506.83,4.59,2496,240.6,13,5012,0,3424
1003.5,506.83,9.19,2496,240.6,13,5012,0,3872
2007.02,506.83,18.38,2496,240.6,13,5012,0,4894
4014.04,506.83,36.75,2496,240.6,13,5012,0,7206
501.51,506.83,4.59,2560,448,40,14000,320,3668
1003.5,506.83,9.19,2560,448,40,14000,320,4476
2007.02,506.83,18.38,2560,448,40,14000,320,5090
4014.04,506.83,36.75,2560,448,40,14000,320,8015
501.51,506.83,4.59,5888,512,46,16000,184,3833
1003.5,506.83,9.19,5888,512,46,16000,184,4665
2007.02,506.83,18.38,5888,512,46,16000,184,5575
4014.04,506.83,36.75,5888,512,46,16000,184,8026
501.51,506.83,4.59,5120,900,80,1752,640,3911
1003.5,506.83,9.19,5120,900,80,1752,640,4699
2007.02,506.83,18.38,5120,900,80,1752,640,5313
4014.04,506.83,36.75,5120,900,80,1752,640,8031
501.51,506.83,4.59,10496,935.8,82,19495,328,3961
1003.5,506.83,9.19,10496,935.8,82,19495,328,4793
2007.02,506.83,18.38,10496,935.8,82,19495,328,5703
4014.04,506.83,36.75,10496,935.8,82,19495,328,8627
795.44,507.54,4.59,2496,240.6,13,5012,0,3772
1590.88,507.54,9.19,2496,240.6,13,5012,0,4358
3181.76,507.54,18.38,2496,240.6,13,5012,0,7426
6363.52,507.54,36.75,2496,240.6,13,5012,0,11404
795.44,507.54,4.59,2560,448,40,14000,320,3820
1590.88,507.54,9.19,2560,448,40,14000,320,4962
3181.76,507.54,18.38,2560,448,40,14000,320,7622
6363.52,507.54,36.75,2560,448,40,14000,320,9025
795.44,507.54,4.59,5888,512,46,16000,184,4061
1590.88,507.54,9.19,5888,512,46,16000,184,4471
3181.76,507.54,18.38,5888,512,46,16000,184,6121
6363.52,507.54,36.75,5888,512,46,16000,184,9246
795.44,507.54,4.59,5120,900,80,1752,640,4119
1590.88,507.54,9.19,5120,900,80,1752,640,4505
3181.76,507.54,18.38,5120,900,80,1752,640,5973
6363.52,507.54,36.75,5120,900,80,1752,640,9243
795.44,507.54,4.59,10496,935.8,82,19495,328,4189
1590.88,507.54,9.19,10496,935.8,82,19495,328,4599
3181.76,507.54,18.38,10496,935.8,82,19495,328,6249
6363.52,507.54,36.75,10496,935.8,82,19495,328,10797
874.88,527.79,4.59,2496,240.6,13,5012,0,3864
1749.76,527.79,9.19,2496,240.6,13,5012,0,4450
3499.52,527.79,18.38,2496,240.6,13,5012,0,7716
6999.04,527.79,36.75,2496,240.6,13,5012,0,11206
874.88,527.79,4.59,2560,448,40,14000,320,3988
1749.76,527.79,9.19,2560,448,40,14000,320,5054
3499.52,527.79,18.38,2560,448,40,14000,320,7912
6999.04,527.79,36.75,2560,448,40,14000,320,10005
874.88,527.79,4.59,5888,512,46,16000,184,4107
1749.76,527.79,9.19,5888,512,46,16000,184,4721
3499.52,527.79,18.38,5888,512,46,16000,184,6307
6999.04,527.79,36.75,5888,512,46,16000,184,10056
874.88,527.79,4.59,5120,900,80,1752,640,4219
1749.76,527.79,9.19,5120,900,80,1752,640,4755
3499.52,527.79,18.38,5120,900,80,1752,640,6251
6999.04,527.79,36.75,5120,900,80,1752,640,10155
874.88,527.79,4.59,10496,935.8,82,19495,328,4235
1749.76,527.79,9.19,10496,935.8,82,19495,328,4849
3499.52,527.79,18.38,10496,935.8,82,19495,328,6435
6999.04,527.79,36.75,10496,935.8,82,19495,328,10467
954.56,527.79,4.59,2496,240.6,13,5012,0,3884
1909.12,527.79,9.19,2496,240.6,13,5012,0,4102
3818.24,527.79,18.38,2496,240.6,13,5012,0,6570
7636.48,527.79,36.75,2496,240.6,13,5012,0,10088
954.56,527.79,4.59,2560,448,40,14000,320,4022
1909.12,527.79,9.19,2560,448,40,14000,320,4706
3818.24,527.79,18.38,2560,448,40,14000,320,7174
7636.48,527.79,36.75,2560,448,40,14000,320,10115
954.56,527.79,4.59,5888,512,46,16000,184,4161
1909.12,527.79,9.19,5888,512,46,16000,184,4889
3818.24,527.79,18.38,5888,512,46,16000,184,6373
7636.48,527.79,36.75,5888,512,46,16000,184,10452
954.56,527.79,4.59,5120,900,80,1752,640,4245
1909.12,527.79,9.19,5120,900,80,1752,640,4923
3818.24,527.79,18.38,5120,900,80,1752,640,6425
7636.48,527.79,36.75,5120,900,80,1752,640,10673
954.56,527.79,4.59,10496,935.8,82,19495,328,4289
1909.12,527.79,9.19,10496,935.8,82,19495,328,5017
3818.24,527.79,18.38,10496,935.8,82,19495,328,6501
7636.48,527.79,36.75,10496,935.8,82,19495,328,11329
